Geography,Major field of,Highest certifi,Total - Sex,  Male,  Female
Nova Scotia / Nouvelle-Écosse,"  Visual and performing arts, and communications technologies","  No certificate, diploma or degree",0,0,0
Nova Scotia / Nouvelle-Écosse,"  Visual and performing arts, and communications technologies",  Secondary (high) school diploma or equivalency certificate,0,0,0
Nova Scotia / Nouvelle-Écosse,"  Visual and performing arts, and communications technologies","  Postsecondary certificate, diploma or degree",10705,5095,5605
Nova Scotia / Nouvelle-Écosse,"  Visual and performing arts, and communications technologies",    Apprenticeship or trades certificate or diploma,950,600,350
Nova Scotia / Nouvelle-Écosse,"  Visual and performing arts, and communications technologies","    College, CEGEP or other non-university certificate or diploma",4890,2670,2225
Nova Scotia / Nouvelle-Écosse,"  Visual and performing arts, and communications technologies",    University certificate or diploma below bachelor level,540,210,335
Nova Scotia / Nouvelle-Écosse,"  Visual and performing arts, and communications technologies","    University certificate, diploma or degree at bachelor level or above",4320,1620,2695
Nova Scotia / Nouvelle-Écosse,  Humanities,"Total - Highest certificate, diploma or degree",18830,7520,11310
Nova Scotia / Nouvelle-Écosse,  Humanities,"  No certificate, diploma or degree",0,0,0
Nova Scotia / Nouvelle-Écosse,  Humanities,  Secondary (high) school diploma or equivalency certificate,0,0,0
Nova Scotia / Nouvelle-Écosse,  Humanities,"  Postsecondary certificate, diploma or degree",18830,7520,11310
Nova Scotia / Nouvelle-Écosse,  Humanities,    Apprenticeship or trades certificate or diploma,175,90,95
Nova Scotia / Nouvelle-Écosse,  Humanities,"    College, CEGEP or other non-university certificate or diploma",1430,600,830
Nova Scotia / Nouvelle-Écosse,  Humanities,    University certificate or diploma below bachelor level,870,320,555
Nova Scotia / Nouvelle-Écosse,  Humanities,"    University certificate, diploma or degree at bachelor level or above",16350,6520,9835
Nova Scotia / Nouvelle-Écosse,  Social and behavioural sciences and law,"Total - Highest certificate, diploma or degree",40160,11980,28175
Nova Scotia / Nouvelle-Écosse,  Social and behavioural sciences and law,"  No certificate, diploma or degree",0,0,0
Nova Scotia / Nouvelle-Écosse,  Social and behavioural sciences and law,  Secondary (high) school diploma or equivalency certificate,0,0,0
Nova Scotia / Nouvelle-Écosse,  Social and behavioural sciences and law,"  Postsecondary certificate, diploma or degree",40155,11985,28175
Nova Scotia / Nouvelle-Écosse,  Social and behavioural sciences and law,    Apprenticeship or trades certificate or diploma,820,105,715
Nova Scotia / Nouvelle-Écosse,  Social and behavioural sciences and law,"    College, CEGEP or other non-university certificate or diploma",9880,1470,8410
Nova Scotia / Nouvelle-Écosse,  Social and behavioural sciences and law,    University certificate or diploma below bachelor level,1360,400,955
Nova Scotia / Nouvelle-Écosse,  Social and behavioural sciences and law,"    University certificate, diploma or degree at bachelor level or above",28095,10000,18095
Nova Scotia / Nouvelle-Écosse,"  Business, management and public administration","Total - Highest certificate, diploma or degree",93080,27030,66045
Nova Scotia / Nouvelle-Écosse,"  Business, management and public administration","  No certificate, diploma or degree",0,0,0
Nova Scotia / Nouvelle-Écosse,"  Business, management and public administration",  Secondary (high) school diploma or equivalency certificate,0,0,0
Nova Scotia / Nouvelle-Écosse,"  Business, management and public administration","  Postsecondary certificate, diploma or degree",93075,27030,66040
Nova Scotia / Nouvelle-Écosse,"  Business, management and public administration",    Apprenticeship or trades certificate or diploma,8080,1160,6925
Nova Scotia / Nouvelle-Écosse,"  Business, management and public administration","    College, CEGEP or other non-university certificate or diploma",49470,8385,41085
Nova Scotia / Nouvelle-Écosse,"  Business, management and public administration",    University certificate or diploma below bachelor level,4735,1725,3005
Nova Scotia / Nouvelle-Écosse,"  Business, management and public administration","    University certificate, diploma or degree at bachelor level or above",30795,15765,15025
Nova Scotia / Nouvelle-Écosse,  Physical and life sciences and technologies,"Total - Highest certificate, diploma or degree",15340,7655,7680
Nova Scotia / Nouvelle-Écosse,  Physical and life sciences and technologies,"  No certificate, diploma or degree",0,0,0
Nova Scotia / Nouvelle-Écosse,  Physical and life sciences and technologies,  Secondary (high) school diploma or equivalency certificate,0,0,0
Nova Scotia / Nouvelle-Écosse,  Physical and life sciences and technologies,"  Postsecondary certificate, diploma or degree",15335,7650,7680
Nova Scotia / Nouvelle-Écosse,  Physical and life sciences and technologies,    Apprenticeship or trades certificate or diploma,120,50,75
Nova Scotia / Nouvelle-Écosse,  Physical and life sciences and technologies,"    College, CEGEP or other non-university certificate or diploma",905,315,595
Nova Scotia / Nouvelle-Écosse,  Physical and life sciences and technologies,    University certificate or diploma below bachelor level,430,220,215
Nova Scotia / Nouvelle-Écosse,  Physical and life sciences and technologies,"    University certificate, diploma or degree at bachelor level or above",13875,7070,6805
Nova Scotia / Nouvelle-Écosse,"  Mathematics, computer and information sciences","Total - Highest certificate, diploma or degree",15745,9360,6390
Nova Scotia / Nouvelle-Écosse,"  Mathematics, computer and information sciences","  No certificate, diploma or degree",0,0,0
Nova Scotia / Nouvelle-Écosse,"  Mathematics, computer and information sciences",  Secondary (high) school diploma or equivalency certificate,0,0,0
Nova Scotia / Nouvelle-Écosse,"  Mathematics, computer and information sciences","  Postsecondary certificate, diploma or degree",15750,9355,6390
Nova Scotia / Nouvelle-Écosse,"  Mathematics, computer and information sciences",    Apprenticeship or trades certificate or diploma,640,300,340
Nova Scotia / Nouvelle-Écosse,"  Mathematics, computer and information sciences","    College, CEGEP or other non-university certificate or diploma",8335,4730,3610
Nova Scotia / Nouvelle-Écosse,"  Mathematics, computer and information sciences",    University certificate or diploma below bachelor level,515,330,185
Nova Scotia / Nouvelle-Écosse,"  Mathematics, computer and information sciences","    University certificate, diploma or degree at bachelor level or above",6250,3995,2255
Nova Scotia / Nouvelle-Écosse,"  Architecture, engineering, and related technologies","Total - Highest certificate, diploma or degree",92915,87335,5580
Nova Scotia / Nouvelle-Écosse,"  Architecture, engineering, and related technologies","  No certificate, diploma or degree",0,0,0
Nova Scotia / Nouvelle-Écosse,"  Architecture, engineering, and related technologies",  Secondary (high) school diploma or equivalency certificate,0,0,0
Nova Scotia / Nouvelle-Écosse,"  Architecture, engineering, and related technologies","  Postsecondary certificate, diploma or degree",92915,87340,5580
Nova Scotia / Nouvelle-Écosse,"  Architecture, engineering, and related technologies",    Apprenticeship or trades certificate or diploma,42690,41630,1055
Nova Scotia / Nouvelle-Écosse,"  Architecture, engineering, and related technologies","    College, CEGEP or other non-university certificate or diploma",37180,34745,2440
Nova Scotia / Nouvelle-Écosse,"  Architecture, engineering, and related technologies",    University certificate or diploma below bachelor level,2400,2120,280
Nova Scotia / Nouvelle-Écosse,"  Architecture, engineering, and related technologies","    University certificate, diploma or degree at bachelor level or above",10645,8840,1805
Nova Scotia / Nouvelle-Écosse,"  Agriculture, natural resources and conservation","Total - Highest certificate, diploma or degree",7625,4615,3015
Nova Scotia / Nouvelle-Écosse,"  Agriculture, natural resources and conservation","  No certificate, diploma or degree",0,0,0
Nova Scotia / Nouvelle-Écosse,"  Agriculture, natural resources and conservation",  Secondary (high) school diploma or equivalency certificate,0,0,0
Nova Scotia / Nouvelle-Écosse,"  Agriculture, natural resources and conservation","  Postsecondary certificate, diploma or degree",7630,4615,3010
Nova Scotia / Nouvelle-Écosse,"  Agriculture, natural resources and conservation",    Apprenticeship or trades certificate or diploma,935,695,240
Nova Scotia / Nouvelle-Écosse,"  Agriculture, natural resources and conservation","    College, CEGEP or other non-university certificate or diploma",3145,2215,930
Nova Scotia / Nouvelle-Écosse,"  Agriculture, natural resources and conservation",    University certificate or diploma below bachelor level,600,325,280
Nova Scotia / Nouvelle-Écosse,"  Agriculture, natural resources and conservation","    University certificate, diploma or degree at bachelor level or above",2945,1385,1560
Nova Scotia / Nouvelle-Écosse,  Health and related fields,"Total - Highest certificate, diploma or degree",66770,10595,56175
Nova Scotia / Nouvelle-Écosse,  Health and related fields,"  No certificate, diploma or degree",0,0,0
Nova Scotia / Nouvelle-Écosse,  Health and related fields,  Secondary (high) school diploma or equivalency certificate,0,0,0
Nova Scotia / Nouvelle-Écosse,  Health and related fields,"  Postsecondary certificate, diploma or degree",66770,10595,56175
Nova Scotia / Nouvelle-Écosse,  Health and related fields,    Apprenticeship or trades certificate or diploma,5780,675,5105
Nova Scotia / Nouvelle-Écosse,  Health and related fields,"    College, CEGEP or other non-university certificate or diploma",34135,3250,30890
Nova Scotia / Nouvelle-Écosse,  Health and related fields,    University certificate or diploma below bachelor level,4185,510,3670
Nova Scotia / Nouvelle-Écosse,  Health and related fields,"    University certificate, diploma or degree at bachelor level or above",22670,6155,16515
Nova Scotia / Nouvelle-Écosse,"  Personal, protective and transportation services","Total - Highest certificate, diploma or degree",32535,17700,14835
Nova Scotia / Nouvelle-Écosse,"  Personal, protective and transportation services","  No certificate, diploma or degree",0,0,0
Nova Scotia / Nouvelle-Écosse,"  Personal, protective and transportation services",  Secondary (high) school diploma or equivalency certificate,0,0,0
Nova Scotia / Nouvelle-Écosse,"  Personal, protective and transportation services","  Postsecondary certificate, diploma or degree",32535,17705,14835
Nova Scotia / Nouvelle-Écosse,"  Personal, protective and transportation services",    Apprenticeship or trades certificate or diploma,16260,8675,7590
Nova Scotia / Nouvelle-Écosse,"  Personal, protective and transportation services","    College, CEGEP or other non-university certificate or diploma",15240,8155,7090
Nova Scotia / Nouvelle-Écosse,"  Personal, protective and transportation services",    University certificate or diploma below bachelor level,420,370,50
Nova Scotia / Nouvelle-Écosse,"  Personal, protective and transportation services","    University certificate, diploma or degree at bachelor level or above",615,510,105
Nova Scotia / Nouvelle-Écosse,  Other fields of study,"Total - Highest certificate, diploma or degree",50,10,35
Nova Scotia / Nouvelle-Écosse,  Other fields of study,"  No certificate, diploma or degree",0,0,0
Nova Scotia / Nouvelle-Écosse,  Other fields of study,  Secondary (high) school diploma or equivalency certificate,0,0,0
Nova Scotia / Nouvelle-Écosse,  Other fields of study,"  Postsecondary certificate, diploma or degree",50,10,35
Nova Scotia / Nouvelle-Écosse,  Other fields of study,    Apprenticeship or trades certificate or diploma,0,0,0
Nova Scotia / Nouvelle-Écosse,  Other fields of study,"    College, CEGEP or other non-university certificate or diploma",0,0,0
Nova Scotia / Nouvelle-Écosse,  Other fields of study,    University certificate or diploma below bachelor level,0,0,0
Nova Scotia / Nouvelle-Écosse,  Other fields of study,"    University certificate, diploma or degree at bachelor level or above",40,0,40
New Brunswick / Nouveau-Brunswick,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"Total - Highest certificate, diploma or degree",620390,301645,318745
New Brunswick / Nouveau-Brunswick,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"  No certificate, diploma or degree",136745,71605,65140
New Brunswick / Nouveau-Brunswick,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,  Secondary (high) school diploma or equivalency certificate,176750,85350,91405
New Brunswick / Nouveau-Brunswick,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"  Postsecondary certificate, diploma or degree",306900,144700,162195
New Brunswick / Nouveau-Brunswick,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,    Apprenticeship or trades certificate or diploma,56595,39960,16630
New Brunswick / Nouveau-Brunswick,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"    College, CEGEP or other non-university certificate or diploma",135065,56055,79005
New Brunswick / Nouveau-Brunswick,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,    University certificate or diploma below bachelor level,11615,3995,7620
New Brunswick / Nouveau-Brunswick,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"    University certificate, diploma or degree at bachelor level or above",103630,44685,58950
New Brunswick / Nouveau-Brunswick,  Education,"Total - Highest certificate, diploma or degree",25570,6725,18845
New Brunswick / Nouveau-Brunswick,  Education,"  No certificate, diploma or degree",0,0,0
New Brunswick / Nouveau-Brunswick,  Education,  Secondary (high) school diploma or equivalency certificate,0,0,0
New Brunswick / Nouveau-Brunswick,  Education,"  Postsecondary certificate, diploma or degree",25570,6725,18850
New Brunswick / Nouveau-Brunswick,  Education,    Apprenticeship or trades certificate or diploma,290,55,240
New Brunswick / Nouveau-Brunswick,  Education,"    College, CEGEP or other non-university certificate or diploma",2895,390,2505
New Brunswick / Nouveau-Brunswick,  Education,    University certificate or diploma below bachelor level,1575,345,1235
New Brunswick / Nouveau-Brunswick,  Education,"    University certificate, diploma or degree at bachelor level or above",20805,5940,14865
New Brunswick / Nouveau-Brunswick,"  Visual and performing arts, and communications technologies","Total - Highest certificate, diploma or degree",6140,2805,3340
New Brunswick / Nouveau-Brunswick,"  Visual and performing arts, and communications technologies","  No certificate, diploma or degree",0,0,0
New Brunswick / Nouveau-Brunswick,"  Visual and performing arts, and communications technologies",  Secondary (high) school diploma or equivalency certificate,0,0,0
New Brunswick / Nouveau-Brunswick,"  Visual and performing arts, and communications technologies","  Postsecondary certificate, diploma or degree",6145,2805,3340
New Brunswick / Nouveau-Brunswick,"  Visual and performing arts, and communications technologies",    Apprenticeship or trades certificate or diploma,605,380,225
New Brunswick / Nouveau-Brunswick,"  Visual and performing arts, and communications technologies","    College, CEGEP or other non-university certificate or diploma",3565,1700,1870
New Brunswick / Nouveau-Brunswick,"  Visual and performing arts, and communications technologies",    University certificate or diploma below bachelor level,220,85,140
New Brunswick / Nouveau-Brunswick,"  Visual and performing arts, and communications technologies","    University certificate, diploma or degree at bachelor level or above",1755,640,1110
New Brunswick / Nouveau-Brunswick,  Humanities,"Total - Highest certificate, diploma or degree",12430,5245,7190
New Brunswick / Nouveau-Brunswick,  Humanities,"  No certificate, diploma or degree",0,0,0
New Brunswick / Nouveau-Brunswick,  Humanities,  Secondary (high) school diploma or equivalency certificate,0,0,0
New Brunswick / Nouveau-Brunswick,  Humanities,"  Postsecondary certificate, diploma or degree",12435,5245,7190
New Brunswick / Nouveau-Brunswick,  Humanities,    Apprenticeship or trades certificate or diploma,90,40,60
New Brunswick / Nouveau-Brunswick,  Humanities,"    College, CEGEP or other non-university certificate or diploma",1525,630,895
New Brunswick / Nouveau-Brunswick,  Humanities,    University certificate or diploma below bachelor level,680,260,420
New Brunswick / Nouveau-Brunswick,  Humanities,"    University certificate, diploma or degree at bachelor level or above",10130,4310,5820
New Brunswick / Nouveau-Brunswick,  Social and behavioural sciences and law,"Total - Highest certificate, diploma or degree",23780,6945,16835
New Brunswick / Nouveau-Brunswick,  Social and behavioural sciences and law,"  No certificate, diploma or degree",0,0,0
New Brunswick / Nouveau-Brunswick,  Social and behavioural sciences and law,  Secondary (high) school diploma or equivalency certificate,0,0,0
New Brunswick / Nouveau-Brunswick,  Social and behavioural sciences and law,"  Postsecondary certificate, diploma or degree",23780,6945,16835
New Brunswick / Nouveau-Brunswick,  Social and behavioural sciences and law,    Apprenticeship or trades certificate or diploma,675,85,590
New Brunswick / Nouveau-Brunswick,  Social and behavioural sciences and law,"    College, CEGEP or other non-university certificate or diploma",7600,915,6690
New Brunswick / Nouveau-Brunswick,  Social and behavioural sciences and law,    University certificate or diploma below bachelor level,710,235,480
New Brunswick / Nouveau-Brunswick,  Social and behavioural sciences and law,"    University certificate, diploma or degree at bachelor level or above",14795,5710,9080
New Brunswick / Nouveau-Brunswick,"  Business, management and public administration","Total - Highest certificate, diploma or degree",67605,19470,48135
New Brunswick / Nouveau-Brunswick,"  Business, management and public administration","  No certificate, diploma or degree",0,0,0
New Brunswick / Nouveau-Brunswick,"  Business, management and public administration",  Secondary (high) school diploma or equivalency certificate,0,0,0
New Brunswick / Nouveau-Brunswick,"  Business, management and public administration","  Postsecondary certificate, diploma or degree",67605,19465,48140
New Brunswick / Nouveau-Brunswick,"  Business, management and public administration",    Apprenticeship or trades certificate or diploma,4180,650,3530
New Brunswick / Nouveau-Brunswick,"  Business, management and public administration","    College, CEGEP or other non-university certificate or diploma",39580,7110,32465
New Brunswick / Nouveau-Brunswick,"  Business, management and public administration",    University certificate or diploma below bachelor level,3410,1095,2315
New Brunswick / Nouveau-Brunswick,"  Business, management and public administration","    University certificate, diploma or degree at bachelor level or above",20440,10615,9825
New Brunswick / Nouveau-Brunswick,  Physical and life sciences and technologies,"Total - Highest certificate, diploma or degree",7625,3925,3700
New Brunswick / Nouveau-Brunswick,  Physical and life sciences and technologies,"  No certificate, diploma or degree",0,0,0
New Brunswick / Nouveau-Brunswick,  Physical and life sciences and technologies,  Secondary (high) school diploma or equivalency certificate,0,0,0
New Brunswick / Nouveau-Brunswick,  Physical and life sciences and technologies,"  Postsecondary certificate, diploma or degree",7625,3925,3700
New Brunswick / Nouveau-Brunswick,  Physical and life sciences and technologies,    Apprenticeship or trades certificate or diploma,120,85,30
New Brunswick / Nouveau-Brunswick,  Physical and life sciences and technologies,"    College, CEGEP or other non-university certificate or diploma",795,385,415
New Brunswick / Nouveau-Brunswick,  Physical and life sciences and technologies,    University certificate or diploma below bachelor level,210,120,95
New Brunswick / Nouveau-Brunswick,  Physical and life sciences and technologies,"    University certificate, diploma or degree at bachelor level or above",6500,3340,3160
New Brunswick / Nouveau-Brunswick,"  Mathematics, computer and information sciences","Total - Highest certificate, diploma or degree",11275,7185,4090
New Brunswick / Nouveau-Brunswick,"  Mathematics, computer and information sciences","  No certificate, diploma or degree",0,0,0
New Brunswick / Nouveau-Brunswick,"  Mathematics, computer and information sciences",  Secondary (high) school diploma or equivalency certificate,0,0,0
New Brunswick / Nouveau-Brunswick,"  Mathematics, computer and information sciences","  Postsecondary certificate, diploma or degree",11275,7185,4090
New Brunswick / Nouveau-Brunswick,"  Mathematics, computer and information sciences",    Apprenticeship or trades certificate or diploma,510,245,270
New Brunswick / Nouveau-Brunswick,"  Mathematics, computer and information sciences","    College, CEGEP or other non-university certificate or diploma",7075,4495,2580
New Brunswick / Nouveau-Brunswick,"  Mathematics, computer and information sciences",    University certificate or diploma below bachelor level,300,140,165
New Brunswick / Nouveau-Brunswick,"  Mathematics, computer and information sciences","    University certificate, diploma or degree at bachelor level or above",3385,2305,1085
New Brunswick / Nouveau-Brunswick,"  Architecture, engineering, and related technologies","Total - Highest certificate, diploma or degree",70800,67065,3730
New Brunswick / Nouveau-Brunswick,"  Architecture, engineering, and related technologies","  No certificate, diploma or degree",0,0,0
New Brunswick / Nouveau-Brunswick,"  Architecture, engineering, and related technologies",  Secondary (high) school diploma or equivalency certificate,0,0,0
New Brunswick / Nouveau-Brunswick,"  Architecture, engineering, and related technologies","  Postsecondary certificate, diploma or degree",70800,67070,3735
New Brunswick / Nouveau-Brunswick,"  Architecture, engineering, and related technologies",    Apprenticeship or trades certificate or diploma,31120,30530,595
New Brunswick / Nouveau-Brunswick,"  Architecture, engineering, and related technologies","    College, CEGEP or other non-university certificate or diploma",31280,29270,2010
New Brunswick / Nouveau-Brunswick,"  Architecture, engineering, and related technologies",    University certificate or diploma below bachelor level,1000,885,115
New Brunswick / Nouveau-Brunswick,"  Architecture, engineering, and related technologies","    University certificate, diploma or degree at bachelor level or above",7400,6385,1015
New Brunswick / Nouveau-Brunswick,"  Agriculture, natural resources and conservation","Total - Highest certificate, diploma or degree",6370,4715,1655
New Brunswick / Nouveau-Brunswick,"  Agriculture, natural resources and conservation","  No certificate, diploma or degree",0,0,0
New Brunswick / Nouveau-Brunswick,"  Agriculture, natural resources and conservation",  Secondary (high) school diploma or equivalency certificate,0,0,0
New Brunswick / Nouveau-Brunswick,"  Agriculture, natural resources and conservation","  Postsecondary certificate, diploma or degree",6370,4720,1655
New Brunswick / Nouveau-Brunswick,"  Agriculture, natural resources and conservation",    Apprenticeship or trades certificate or diploma,1090,775,315
New Brunswick / Nouveau-Brunswick,"  Agriculture, natural resources and conservation","    College, CEGEP or other non-university certificate or diploma",3120,2470,650
New Brunswick / Nouveau-Brunswick,"  Agriculture, natural resources and conservation",    University certificate or diploma below bachelor level,300,240,55
New Brunswick / Nouveau-Brunswick,"  Agriculture, natural resources and conservation","    University certificate, diploma or degree at bachelor level or above",1855,1230,630
New Brunswick / Nouveau-Brunswick,  Health and related fields,"Total - Highest certificate, diploma or degree",49795,7490,42305
New Brunswick / Nouveau-Brunswick,  Health and related fields,"  No certificate, diploma or degree",0,0,0
New Brunswick / Nouveau-Brunswick,  Health and related fields,  Secondary (high) school diploma or equivalency certificate,0,0,0
New Brunswick / Nouveau-Brunswick,  Health and related fields,"  Postsecondary certificate, diploma or degree",49795,7495,42300
New Brunswick / Nouveau-Brunswick,  Health and related fields,    Apprenticeship or trades certificate or diploma,4510,580,3930
New Brunswick / Nouveau-Brunswick,  Health and related fields,"    College, CEGEP or other non-university certificate or diploma",26145,2630,23520
New Brunswick / Nouveau-Brunswick,  Health and related fields,    University certificate or diploma below bachelor level,2935,350,2580
New Brunswick / Nouveau-Brunswick,  Health and related fields,"    University certificate, diploma or degree at bachelor level or above",16210,3935,12280
New Brunswick / Nouveau-Brunswick,"  Personal, protective and transportation services","Total - Highest certificate, diploma or degree",25465,13110,12355
New Brunswick / Nouveau-Brunswick,"  Personal, protective and transportation services","  No certificate, diploma or degree",0,0,0
New Brunswick / Nouveau-Brunswick,"  Personal, protective and transportation services",  Secondary (high) school diploma or equivalency certificate,0,0,0
New Brunswick / Nouveau-Brunswick,"  Personal, protective and transportation services","  Postsecondary certificate, diploma or degree",25465,13110,12350
New Brunswick / Nouveau-Brunswick,"  Personal, protective and transportation services",    Apprenticeship or trades certificate or diploma,13400,6545,6850
New Brunswick / Nouveau-Brunswick,"  Personal, protective and transportation services","    College, CEGEP or other non-university certificate or diploma",11485,6070,5415
New Brunswick / Nouveau-Brunswick,"  Personal, protective and transportation services",    University certificate or diploma below bachelor level,260,230,25
New Brunswick / Nouveau-Brunswick,"  Personal, protective and transportation services","    University certificate, diploma or degree at bachelor level or above",315,260,55
New Brunswick / Nouveau-Brunswick,  Other fields of study,"Total - Highest certificate, diploma or degree",50,25,25
New Brunswick / Nouveau-Brunswick,  Other fields of study,"  No certificate, diploma or degree",0,0,0
New Brunswick / Nouveau-Brunswick,  Other fields of study,  Secondary (high) school diploma or equivalency certificate,0,0,0
New Brunswick / Nouveau-Brunswick,  Other fields of study,"  Postsecondary certificate, diploma or degree",50,25,25
New Brunswick / Nouveau-Brunswick,  Other fields of study,    Apprenticeship or trades certificate or diploma,10,0,0
New Brunswick / Nouveau-Brunswick,  Other fields of study,"    College, CEGEP or other non-university certificate or diploma",0,0,0
New Brunswick / Nouveau-Brunswick,  Other fields of study,    University certificate or diploma below bachelor level,0,0,0
New Brunswick / Nouveau-Brunswick,  Other fields of study,"    University certificate, diploma or degree at bachelor level or above",40,20,20
Quebec / Québec,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"Total - Highest certificate, diploma or degree",6634280,3260040,3374240
Quebec / Québec,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"  No certificate, diploma or degree",1323070,674955,648115
Quebec / Québec,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,  Secondary (high) school diploma or equivalency certificate,1426980,674820,752155
Quebec / Québec,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"  Postsecondary certificate, diploma or degree",3884235,1910260,1973970
Quebec / Québec,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,    Apprenticeship or trades certificate or diploma,1120730,681515,439215
Quebec / Québec,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"    College, CEGEP or other non-university certificate or diploma",1165515,506770,658740
Quebec / Québec,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,    University certificate or diploma below bachelor level,236260,93680,142580
Quebec / Québec,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"    University certificate, diploma or degree at bachelor level or above",1361735,628295,733435
Quebec / Québec,  Education,"Total - Highest certificate, diploma or degree",273320,62470,210845
Quebec / Québec,  Education,"  No certificate, diploma or degree",0,0,0
Quebec / Québec,  Education,  Secondary (high) school diploma or equivalency certificate,0,0,0
Quebec / Québec,  Education,"  Postsecondary certificate, diploma or degree",273315,62470,210845
Quebec / Québec,  Education,    Apprenticeship or trades certificate or diploma,4490,1015,3480
Quebec / Québec,  Education,"    College, CEGEP or other non-university certificate or diploma",50205,6655,43550
Quebec / Québec,  Education,    University certificate or diploma below bachelor level,28405,5895,22510
Quebec / Québec,  Education,"    University certificate, diploma or degree at bachelor level or above",190210,48905,141310
Quebec / Québec,"  Visual and performing arts, and communications technologies","Total - Highest certificate, diploma or degree",156720,71485,85235
Quebec / Québec,"  Visual and performing arts, and communications technologies","  No certificate, diploma or degree",0,0,0
Quebec / Québec,"  Visual and performing arts, and communications technologies",  Secondary (high) school diploma or equivalency certificate,0,0,0
Quebec / Québec,"  Visual and performing arts, and communications technologies","  Postsecondary certificate, diploma or degree",156720,71480,85240
Quebec / Québec,"  Visual and performing arts, and communications technologies",    Apprenticeship or trades certificate or diploma,23005,13520,9480
Quebec / Québec,"  Visual and performing arts, and communications technologies","    College, CEGEP or other non-university certificate or diploma",75590,33830,41755
Quebec / Québec,"  Visual and performing arts, and communications technologies",    University certificate or diploma below bachelor level,9225,3750,5475
Quebec / Québec,"  Visual and performing arts, and communications technologies","    University certificate, diploma or degree at bachelor level or above",48900,20380,28525
Quebec / Québec,  Humanities,"Total - Highest certificate, diploma or degree",215730,86060,129670
Quebec / Québec,  Humanities,"  No certificate, diploma or degree",0,0,0
Quebec / Québec,  Humanities,  Secondary (high) school diploma or equivalency certificate,0,0,0
Quebec / Québec,  Humanities,"  Postsecondary certificate, diploma or degree",215735,86060,129670
Quebec / Québec,  Humanities,    Apprenticeship or trades certificate or diploma,3285,1655,1635
Quebec / Québec,  Humanities,"    College, CEGEP or other non-university certificate or diploma",100410,40440,59965
Quebec / Québec,  Humanities,    University certificate or diploma below bachelor level,15205,4790,10415
Quebec / Québec,  Humanities,"    University certificate, diploma or degree at bachelor level or above",96835,39175,57660
Quebec / Québec,  Social and behavioural sciences and law,"Total - Highest certificate, diploma or degree",381000,125025,255975
Quebec / Québec,  Social and behavioural sciences and law,"  No certificate, diploma or degree",0,0,0
Quebec / Québec,  Social and behavioural sciences and law,  Secondary (high) school diploma or equivalency certificate,0,0,0
Quebec / Québec,  Social and behavioural sciences and law,"  Postsecondary certificate, diploma or degree",381000,125020,255970
Quebec / Québec,  Social and behavioural sciences and law,    Apprenticeship or trades certificate or diploma,26215,2320,23890
Quebec / Québec,  Social and behavioural sciences and law,"    College, CEGEP or other non-university certificate or diploma",99145,23070,76070
Quebec / Québec,  Social and behavioural sciences and law,    University certificate or diploma below bachelor level,27470,9550,17920
Quebec / Québec,  Social and behavioural sciences and law,"    University certificate, diploma or degree at bachelor level or above",228170,90080,138090
Quebec / Québec,"  Business, management and public administration","Total - Highest certificate, diploma or degree",879190,321450,557740
Quebec / Québec,"  Business, management and public administration","  No certificate, diploma or degree",0,0,0
Quebec / Québec,"  Business, management and public administration",  Secondary (high) school diploma or equivalency certificate,0,0,0
Quebec / Québec,"  Business, management and public administration","  Postsecondary certificate, diploma or degree",879190,321455,557735
Quebec / Québec,"  Business, management and public administration",    Apprenticeship or trades certificate or diploma,161505,26975,134525
Quebec / Québec,"  Business, management and public administration","    College, CEGEP or other non-university certificate or diploma",297030,90025,207000
Quebec / Québec,"  Business, management and public administration",    University certificate or diploma below bachelor level,90970,38615,52350
Quebec / Québec,"  Business, management and public administration","    University certificate, diploma or degree at bachelor level or above",329690,165835,163855
Quebec / Québec,  Physical and life sciences and technologies,"Total - Highest certificate, diploma or degree",140995,76780,64210
Quebec / Québec,  Physical and life sciences and technologies,"  No certificate, diploma or degree",0,0,0
Quebec / Québec,  Physical and life sciences and technologies,  Secondary (high) school diploma or equivalency certificate,0,0,0
Quebec / Québec,  Physical and life sciences and technologies,"  Postsecondary certificate, diploma or degree",140995,76780,64215
Quebec / Québec,  Physical and life sciences and technologies,    Apprenticeship or trades certificate or diploma,1910,1300,605
Quebec / Québec,  Physical and life sciences and technologies,"    College, CEGEP or other non-university certificate or diploma",56840,32575,24265
