Geography,Major field of,Highest certifi,Total - Sex,  Male,  Female
Canada,"  Mathematics, computer and information sciences",    Apprenticeship or trades certificate or diploma,32995,20325,12670
Canada,"  Mathematics, computer and information sciences","    College, CEGEP or other non-university certificate or diploma",265910,171530,94385
Canada,"  Mathematics, computer and information sciences",    University certificate or diploma below bachelor level,33675,21325,12350
Canada,"  Mathematics, computer and information sciences","    University certificate, diploma or degree at bachelor level or above",318890,207185,111710
Canada,"  Architecture, engineering, and related technologies","Total - Highest certificate, diploma or degree",3327405,3022700,304700
Canada,"  Architecture, engineering, and related technologies","  No certificate, diploma or degree",0,0,0
Canada,"  Architecture, engineering, and related technologies",  Secondary (high) school diploma or equivalency certificate,0,0,0
Canada,"  Architecture, engineering, and related technologies","  Postsecondary certificate, diploma or degree",3327400,3022700,304700
Canada,"  Architecture, engineering, and related technologies",    Apprenticeship or trades certificate or diploma,1489355,1441015,48340
Canada,"  Architecture, engineering, and related technologies","    College, CEGEP or other non-university certificate or diploma",1005655,917080,88575
Canada,"  Architecture, engineering, and related technologies",    University certificate or diploma below bachelor level,84900,72405,12490
Canada,"  Architecture, engineering, and related technologies","    University certificate, diploma or degree at bachelor level or above",747500,592205,155295
Canada,"  Agriculture, natural resources and conservation","Total - Highest certificate, diploma or degree",339050,219045,120005
Canada,"  Agriculture, natural resources and conservation","  No certificate, diploma or degree",0,0,0
Canada,"  Agriculture, natural resources and conservation",  Secondary (high) school diploma or equivalency certificate,0,0,0
Canada,"  Agriculture, natural resources and conservation","  Postsecondary certificate, diploma or degree",339050,219040,120005
Canada,"  Agriculture, natural resources and conservation",    Apprenticeship or trades certificate or diploma,65715,47200,18510
Canada,"  Agriculture, natural resources and conservation","    College, CEGEP or other non-university certificate or diploma",128850,87540,41310
Canada,"  Agriculture, natural resources and conservation",    University certificate or diploma below bachelor level,24945,16870,8075
Canada,"  Agriculture, natural resources and conservation","    University certificate, diploma or degree at bachelor level or above",119535,67425,52105
Canada,  Health and related fields,"Total - Highest certificate, diploma or degree",2266720,441175,1825545
Canada,  Health and related fields,"  No certificate, diploma or degree",0,0,0
Canada,  Health and related fields,  Secondary (high) school diploma or equivalency certificate,0,0,0
Canada,  Health and related fields,"  Postsecondary certificate, diploma or degree",2266725,441180,1825545
Canada,  Health and related fields,    Apprenticeship or trades certificate or diploma,245300,30865,214435
Canada,  Health and related fields,"    College, CEGEP or other non-university certificate or diploma",1071350,133520,937830
Canada,  Health and related fields,    University certificate or diploma below bachelor level,133365,21115,112250
Canada,  Health and related fields,"    University certificate, diploma or degree at bachelor level or above",816700,255675,561025
Canada,"  Personal, protective and transportation services","Total - Highest certificate, diploma or degree",995825,507195,488630
Canada,"  Personal, protective and transportation services","  No certificate, diploma or degree",0,0,0
Canada,"  Personal, protective and transportation services",  Secondary (high) school diploma or equivalency certificate,0,0,0
Canada,"  Personal, protective and transportation services","  Postsecondary certificate, diploma or degree",995825,507195,488630
Canada,"  Personal, protective and transportation services",    Apprenticeship or trades certificate or diploma,566845,261155,305690
Canada,"  Personal, protective and transportation services","    College, CEGEP or other non-university certificate or diploma",391255,218755,172505
Canada,"  Personal, protective and transportation services",    University certificate or diploma below bachelor level,15305,11900,3410
Canada,"  Personal, protective and transportation services","    University certificate, diploma or degree at bachelor level or above",22420,15390,7025
Canada,  Other fields of study,"Total - Highest certificate, diploma or degree",3170,885,2280
Canada,  Other fields of study,"  No certificate, diploma or degree",0,0,0
Canada,  Other fields of study,  Secondary (high) school diploma or equivalency certificate,0,0,0
Canada,  Other fields of study,"  Postsecondary certificate, diploma or degree",3165,890,2275
Canada,  Other fields of study,    Apprenticeship or trades certificate or diploma,250,155,90
Canada,  Other fields of study,"    College, CEGEP or other non-university certificate or diploma",120,50,75
Canada,  Other fields of study,    University certificate or diploma below bachelor level,335,115,220
Canada,  Other fields of study,"    University certificate, diploma or degree at bachelor level or above",2460,565,1890
Newfoundland and Labrador / Terre-Neuve-et-Labrador,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"Total - Highest certificate, diploma or degree",437935,212785,225155
Newfoundland and Labrador / Terre-Neuve-et-Labrador,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"  No certificate, diploma or degree",102665,51175,51495
Newfoundland and Labrador / Terre-Neuve-et-Labrador,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,  Secondary (high) school diploma or equivalency certificate,109480,50205,59275
Newfoundland and Labrador / Terre-Neuve-et-Labrador,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"  Postsecondary certificate, diploma or degree",225790,111405,114385
Newfoundland and Labrador / Terre-Neuve-et-Labrador,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,    Apprenticeship or trades certificate or diploma,49430,36325,13115
Newfoundland and Labrador / Terre-Neuve-et-Labrador,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"    College, CEGEP or other non-university certificate or diploma",101250,42905,58345
Newfoundland and Labrador / Terre-Neuve-et-Labrador,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,    University certificate or diploma below bachelor level,10405,4275,6125
Newfoundland and Labrador / Terre-Neuve-et-Labrador,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"    University certificate, diploma or degree at bachelor level or above",64705,27900,36800
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Education,"Total - Highest certificate, diploma or degree",19040,5665,13370
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Education,"  No certificate, diploma or degree",0,0,0
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Education,  Secondary (high) school diploma or equivalency certificate,0,0,0
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Education,"  Postsecondary certificate, diploma or degree",19040,5665,13375
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Education,    Apprenticeship or trades certificate or diploma,300,35,265
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Education,"    College, CEGEP or other non-university certificate or diploma",1220,140,1075
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Education,    University certificate or diploma below bachelor level,1940,405,1535
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Education,"    University certificate, diploma or degree at bachelor level or above",15580,5080,10500
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Visual and performing arts, and communications technologies","Total - Highest certificate, diploma or degree",3660,1705,1955
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Visual and performing arts, and communications technologies","  No certificate, diploma or degree",0,0,0
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Visual and performing arts, and communications technologies",  Secondary (high) school diploma or equivalency certificate,0,0,0
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Visual and performing arts, and communications technologies","  Postsecondary certificate, diploma or degree",3660,1705,1955
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Visual and performing arts, and communications technologies",    Apprenticeship or trades certificate or diploma,380,210,170
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Visual and performing arts, and communications technologies","    College, CEGEP or other non-university certificate or diploma",2035,1065,970
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Visual and performing arts, and communications technologies",    University certificate or diploma below bachelor level,130,55,75
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Visual and performing arts, and communications technologies","    University certificate, diploma or degree at bachelor level or above",1110,375,735
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Humanities,"Total - Highest certificate, diploma or degree",7180,2965,4220
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Humanities,"  No certificate, diploma or degree",0,0,0
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Humanities,  Secondary (high) school diploma or equivalency certificate,0,0,0
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Humanities,"  Postsecondary certificate, diploma or degree",7180,2960,4220
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Humanities,    Apprenticeship or trades certificate or diploma,95,35,60
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Humanities,"    College, CEGEP or other non-university certificate or diploma",785,335,450
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Humanities,    University certificate or diploma below bachelor level,380,125,250
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Humanities,"    University certificate, diploma or degree at bachelor level or above",5915,2465,3455
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Social and behavioural sciences and law,"Total - Highest certificate, diploma or degree",13825,4140,9680
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Social and behavioural sciences and law,"  No certificate, diploma or degree",0,0,0
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Social and behavioural sciences and law,  Secondary (high) school diploma or equivalency certificate,0,0,0
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Social and behavioural sciences and law,"  Postsecondary certificate, diploma or degree",13825,4140,9685
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Social and behavioural sciences and law,    Apprenticeship or trades certificate or diploma,410,50,360
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Social and behavioural sciences and law,"    College, CEGEP or other non-university certificate or diploma",4680,605,4075
